form,item,meaning,iconic,foils
yoroyoro,practice,WOBBLING,y,tehe|tyekye|tseke
fuwafuwa,practice,FLUFFY,y,rizyu|gityu|nitsu
katai,control,HARD,y,nuhua|zuwua|ruyua
pyoNpyoN,control,BOUNCING|HOPPING,y,neQ|zeQ|reQ
hisohiso,control,WHISPERING,y,nake|dzame|zyage
tyikutyiku,trial,CRAMPING (e.g. in stomach)|SPASMING (e.g. in stomach),y,wani|yazi|gari
syiQpori,trial,WET|SOGGY|DAMP,y,rasyeha|nawekya|mayeka
kapokapo,trial,SLOSHING|SPLASHING,y,nusye|zuwe|ruye
yakiyaki,trial,ANNOYED|IMPATIENT,y,tuna|tyuza|tsura
darui,trial,SLUGGISH|LETHARGIC,y,wuhia|yukyia|hukia
igaiga,trial,PRICKLING|TINGLING,y,aru|asu|atyu
zawazawa,trial,(SPINE) TINGLING| SHIVERS (DOWN YOUR SPINE),y,guzyu|kyutyu|kutsu
hirihiri,trial,THROBBING|PULSATING,y,naha|dzakya|zyaka
hetoheto,trial,EXHAUSTED|TIRED|WEARY,y,nohe|dzowe|zyoye
suzusyii,trial,COOL|FRESH,y,kigira|mikyina|gikima
zuruNzuruN,trial,SLIMY|GOOEY,y,gihiQ|kyikyiQ|kikiQ
omoi,trial,OILY/HEAVY (food),y,etyea|esea|esyea
suQkoi,trial,CUNNING|SLY|SNEAKY,y,kinea|mizea|girea
tyiraatyiraa,trial,"STINGING (pain, e.g. in eyes)|BURNING (pain, e.g. in eyes)",y,wahu|yakyu|gaku
nebaneba,trial,SLIMY|GOOEY,y,syotyu|kohu|hosyu
serasera,trial,PRICKLING|TINGLING,y,kohu|mokyu|goku
oQkanai,trial,SCARY|FRIGHTENING,y,enusyua|ezukua|eruhua
kaii,trial,ITCHING|PRICKLING,n,nua|zua|rua
kooru,trial,FREEZE,n,nehi|zekyi|reki
hidarui,trial,HUNGRY|STARVING,n,nawuhia|dzayukyia|zyahukia
sabaku,trial,TEAR|RIP,n,kutyuni|muhuzi|gusyuri
omoreru,trial,HUMID|MUGGY,n,etyehohi|esekyokyi|esyekoki
dareta,trial,WORN OUT|TIRED|WEARY|EXHAUSTED,n,wuhohu|yukyowu|hukoyu
mizukusai,trial,BLAND (taste)|TASTELESS|WATERY (taste),n,tyaginikua|sakyizimua|syakirigua
kawaku,trial,DRY|PARCHED,n,nuzyuni|zutyuzi|rutsuri
kitsuka,trial,SLUGGISH|LETHARGIC,n,nahinu|zawizu|rayiru
niyaniya,trial,CRAMPING (e.g. in stomach)|SPASMING (e.g. in stomach),y,syatu|katyu|hatsu
zyimezyime,trial,HUMID|MUGGY,y,matyo|waso|hasyo
zoNzoN,trial,(SPINE) TINGLING| SHIVERS (DOWN YOUR SPINE),y,geQ|kyeQ|keQ
tyikutyiku,trial,ITCHING|PRICKLING,y,wani|yazi|gari
hiyaQkoi,trial,COOL|FRESH,y,natunea|dzatyuzea|zyatsurea
suu,trial,SUCK,y,ki|mi|gi
fuku,trial,BLOW|PUFF,y,rini|gizi|niri
saku,trial,TEAR|RIP,y,kuni|muzi|guri
osoi,trial,SLOW,y,ekea|emea|egea
kiiN,trial,RINGING (e.g. a ringing sound in your ears),y,naQ|zaQ|raQ
izyiizyi,trial,ANNOYED|IMPATIENT,y,ama|awa|aha
mabusyii,trial,GLARING (light)|BLINDING (light)|DAZZLING,y,tyutyira|suhina|syusyima
yakamasyii,trial,LOUD|NOISY,y,tunutyura|tyuzusuna|tsurusyuma
deQkai,trial,BIG|MASSIVE|LARGE|HUGE,y,wonua|yozua|horua
saQpari,trial,CLEAN|TIDY,y,kusyuha|muwukya|guyuka
syobosyobo,trial,WATERY (EYES)|BLEARY (EYES),y,retye|nehe|mesye
kaku,trial,SCRATCH,n,nuni|zuzi|ruri
kanasyii,trial,SAD|GLUM,n,nusyura|zukuna|ruhuma
modokasyii,trial,ANNOYED|IMPATIENT,n,tyewenura|seyezuna|syeheruma
tsurai,trial,SAD|GLUM,n,hihua|wikyua|yikua
akaanakaQta,trial,DARK|DIM,n,unusyunuhu|uzukuzuwu|uruhuruyu
geNki,trial,LIVELY|ENERGETIC,n,roQna|soQza|tyoQra
deQkai,trial,ROUGH|GRITTY|COARSE,n,wonua|yozua|horua
kara,trial,EMPTY,n,nuhu|zukyu|ruku
hasyikai,trial,ITCHING|PRICKLING,n,nuranua|dzunazua|zyumarua
yawakoi,trial,SOFT|SQUISHY,y,tuzyunea|tyutyuzea|tsutsurea
nigai,trial,ACRID (taste)|BITTER (taste),y,syarua|kasua|hatyua
semai,trial,CRAMPED|TIGHT,y,kotyua|mosua|gosyua
akarui,trial,BRIGHT|SUNNY,y,unuhia|uzukyia|urukia
betabeta,trial,STICKY|GOOEY,y,tyohu|howu|syoyu
netyanetya,trial,STICKY|GOOEY,y,syowu|koyu|hogu
zyiNzyiN,trial,POUNDING (e.g. headache)|THROBBING (e.g. headache),y,maQ|waQ|haQ
mukamuka,trial,ANNOYED|IMPATIENT,y,tyinu|sizu|syiru
tyikatyika,trial,"STINGING (pain, e.g. in eyes)|BURNING (pain, e.g. in eyes)",y,wanu|yazu|garu
yagurasyika,trial,LOUD|NOISY,y,turihuranu|tyusikyunazu|tsutyikumaru
dzugedzuge,trial,RUDE|ARROGANT|BRAZEN,y,wiro|yiso|hityo
syibareru,trial,COLD|CHILLY,y,ratyuhohi|nahukyokyi|masyukoki
syizukaya,trial,QUIET,y,raginutu|nakyizutyu|makirutsu
yaoi,trial,SOFT|SQUISHY,y,tuea|tyuea|tsuea
kaQtarii,trial,EXHAUSTED|TIRED|WEARY,y,nuhuha|zuwukya|ruyuka
booQ,trial,FUZZY|BLURRY|HAZY,y,tyeN|heN|syeN
igai,trial,BIG|MASSIVE|LARGE|HUGE,n,arua|asua|atyua
hau,trial,CRAWL|CREEP,n,nui|dzui|zyui
kitsuka,trial,EXHAUSTED|TIRED|WEARY,n,nahinu|zawizu|rayiru
maNpuku,trial,STUFFED (from eating too much)|FULL (from eating),n,tyuQsyini|suQwizi|syuQyiri
koi,trial,RICH (taste)|STRONG (taste),n,nea|zea|rea
miQtomonai,trial,SCRUFFY|TATTY|RAGGEDY,n,tyahetyesyua|sawesekua|syayesyehua
nigiyaka,trial,LOUD|NOISY,n,syaratunu|kasatyuzu|hatyatsuru
hagai,trial,ANNOYED|IMPATIENT,n,nurua|dzusua|zyutyua
kosui,trial,CUNNING|SLY|SNEAKY,n,nekia|zemia|regia
mabusyii,trial,GLARING (light)|BLINDING (light)|DAZZLING,y,tyutyira|suhina|syusyima
syikusyiku,trial,WATERY (EYES)|BLEARY (EYES),y,rani|nazi|mari
motyokoi,trial,TICKLING,y,tyewenea|seyezea|syegerea
ookii,trial,BIG|MASSIVE|LARGE|HUGE,y,ena|eza|era
tsuuN,trial,RINGING (e.g. a ringing sound in your ears),y,hiQ|wiQ|yiQ
yaQkiri,trial,ANNOYED|IMPATIENT,y,tunaha|tyuzakya|tsuraka
kudoi,trial,OILY/HEAVY (food),y,niwea|ziyea|rihea
paNpaN,trial,STUFFED (from eating too much)|FULL (from eating),y,syuQ|wuQ|yuQ
uzyauzya,trial,SHAKING|TREMBLING,y,imu|iwu|ihu
syaNsyaN,trial,LIVELY|ENERGETIC,y,ruQ|nuQ|muQ
kurai,trial,DARK|DIM,y,nihua|zikyua|rikua
kutyii,trial,STUFFED (from eating too much)|FULL (from eating),y,niwa|ziya|riga
kutakuta,trial,EXHAUSTED|TIRED|WEARY,y,nihu|ziwu|riyu
karai,trial,SALTY|BRINY (taste),y,nuhua|zukyua|rukua
dotsuku,trial,RAP (at the door)|KNOCK (at the door),y,wehini|yewizi|heyiri
nurunuru,trial,SLIMY|SLIPPERY|SLICK,y,syihi|kikyi|hiki
neranera,trial,STICKY|GOOEY,y,syohu|kokyu|hoku
hedzune,trial,SAD|GLUM,n,nowisyo|dzoyiko|zyohiho
notaru,trial,CRAWL|CREEP,n,syehuhi|kewukyi|heyuki
egui,trial,ACRID (taste)|BITTER (taste),n,oria|osia|otyia
hasyikai,trial,PRICKLING|TINGLING,n,nuranua|dzunazua|zyumarua
yogoreru,trial,WET|SOGGY|DAMP,n,terehohi|tyesekyokyi|tsetyekoki
mawaru,trial,ROLL|SPIN,n,tyuzyuhi|sutyukyi|syutsuki
syetsu,trial,EXHAUSTED|TIRED|WEARY,n,rohi|nowi|moyi
erai,trial,EXHAUSTED|TIRED|WEARY,n,ohua|okyua|okua
kowai,trial,HARD,n,nezyua|zetyua|retsua
netyanetya,trial,STICKY|GOOEY,y,syowu|koyu|hogu
zarazara,trial,ROUGH|GRITTY|COARSE,y,guhu|kyukyu|kuku
boroboro,trial,SCRUFFY|TATTY|RAGGEDY,y,tyehe|hekye|syeke
piNpiN,trial,LIVELY|ENERGETIC,y,syaQ|waQ|yaQ
keQko,trial,CLEAN|TIDY,y,none|zoze|rore
nebaneba,trial,STICKY|GOOEY,y,syotyu|kohu|hosyu
kiree,trial,CLEAN|TIDY,y,naho|zakyo|rako
netyinetyi,trial,CLINGY,y,syowa|koya|hoga
subesube,trial,SLIPPERY|SMOOTH,y,kityo|miho|gisyo
boNyari,trial,FUZZY|BLURRY|HAZY,y,tyeQtuha|heQtyukya|syeQtsuka
kyuukutsuka,trial,TIGHT|PINCHING,y,ninihinu|ziziwizu|ririyiru
aQtakee,trial,WARM,y,uhuno|uwuzo|uyuro
iQpai,trial,FULL (to the brim)|FULL (to bursting),y,asyua|awua|ayua
musyimusyi,trial,HUMID|MUGGY,y,tyira|sina|syima
kitsui,trial,TIGHT|PINCHING,y,nahia|zawia|rayia
iraira,trial,PRICKLING|TINGLING,y,ahu|akyu|aku
tyiQtyai,trial,SMALL|LITTLE|TINY,y,wawua|yayua|gagua
omotai,trial,FUZZY|BLURRY|HAZY,n,etyehua|esewua|esyeyua
sabui,trial,COLD|CHILLY,n,kutyia|muhia|gusyia
gomeku,trial,CRY|WAIL,n,retyoni|sesozi|tyesyori
syiNdoi,trial,SLUGGISH|LETHARGIC,n,raQwea|naQyea|maQhea
koragu,trial,DRY|PARCHED,n,nehuri|zekyusi|rekutyi
koe,trial,SLUGGISH|LETHARGIC,n,neo|zeo|reo
koenee,trial,EXHAUSTED|TIRED|WEARY,n,neosyo|zeoko|reoho
karui,trial,LIGHT|AIRY,n,nuhia|zukyia|rukia
matsupoi,trial,GLARING (light)|BLINDING (light),n,tyuhisyea|suwiwea|syuyiyea
betabeta,trial,STICKY|GOOEY,y,tyohu|howu|syoyu
nebaneba,trial,SLIMY|SLIPPERY|SLICK,y,syotyu|kohu|hosyu
nurunuru,trial,SLIMY|SLIPPERY|SLICK,y,syihi|kikyi|hiki
zyitozyito,trial,HUMID|MUGGY,y,mahe|wawe|haye
amai,trial,SWEET,y,utyua|usua|usyua
toNtoN,trial,POUNDING (e.g. headache)|THROBBING (e.g. headache),y,heQ|weQ|yeQ
kibui,trial,TIGHT|PINCHING,y,natyia|zahia|rasyia
koQsui,trial,CUNNING|SLY|SNEAKY,y,nekia|zemia|regia
nikoniko,trial,GRINNING|SMILING,y,syane|kaze|hare
tataku,trial,RAP (at the door)|KNOCK (at the door),y,huhuni|wuwuzi|yuyuri
kirikiri,trial,CRAMPING (e.g. in stomach)|SPASMING (e.g. in stomach),y,naha|zakya|raka
nurui,trial,LUKEWARM,y,syihia|kikyia|hikia
iQpai,trial,STUFFED (from eating too much)|FULL (from eating),y,asyua|awua|ayua
piripiri,trial,BURNING|TINGLING,y,syaha|wakya|yaka
naNgii,trial,SLUGGISH|LETHARGIC,y,syuQra|kuQsa|huQtya
zuNzuN,trial,THROBBING|PULSATING,y,giQ|kyiQ|kiQ
futoi,trial,THICK|FAT,y,rihea|giwea|niyea
iraira,trial,ANNOYED|IMPATIENT,y,ahu|akyu|aku
syibasyiba,trial,"STINGING (pain, e.g. in eyes)|BURNING (pain, e.g. in eyes)",y,ratyu|nahu|masyu
syibutoi,trial,RUDE|ARROGANT|BRAZEN,n,ratyihea|nahiwea|masyiyea
iteru,trial,FREEZE,n,ahohi|awokyi|ayoki
oodoona,trial,RUDE|ARROGANT|BRAZEN,n,ewesyu|eyeku|ehehu
mameda,trial,LIVELY|ENERGETIC,n,tyutyowu|susoyu|syusyohu
yabuku,trial,TEAR|RIP,n,tutyini|tyuhizi|tsusyiri
sukosyi,trial,A LITTLE|SLIGHTLY,n,kinera|mizena|girema
uresyii,trial,GLAD|HAPPY,n,ihora|ikyona|ikoma
migotsu,trial,CLEAN|TIDY,n,tyarehi|sasewi|syatyeyi
kakazyiru,trial,SCRATCH,n,nunumahi|zuzuwakyi|ruruhaki
guQtari,trial,EXHAUSTED|TIRED|WEARY,y,rihuha|siwukya|tyiyuka
syiiN,trial,QUIET,y,raQ|naQ|maQ
sui,trial,SOUR|ACIDIC,y,kia|mia|gia
buruburu,trial,SHAKING|TREMBLING,y,tyihi|hikyi|syiki
hieQda,trial,COLD|CHILLY,y,naowu|dzaoyu|zyaohu
syimeQpoi,trial,WET|SOGGY|DAMP,y,ratyosyea|nasowea|masyoyea
zyarizyari,trial,ROUGH|GRITTY|COARSE,y,muha|wukya|huka
nebutai,trial,SLEEPY|DROWSY,y,syotyihua|kohiwua|hosyiyua
gaNgaN,trial,POUNDING (e.g. headache)|THROBBING (e.g. headache),y,ruQ|suQ|tyuQ
syibityoo,trial,COLD|CHILLY,y,ratyawe|nahaye|masyage
yawarakai,trial,SOFT|SQUISHY,y,tuzyuhunua|tyutyukyuzua|tsutsukurua
hoQkori,trial,EXHAUSTED|TIRED|WEARY,y,neneha|dzezekya|zyereka
omoi,trial,HEAVY,y,etyea|esea|esyea
hirihiri,trial,PRICKLING|TINGLING,y,naha|dzakya|zyaka
zyukuzyuku,trial,OOZING|DRIBBLING|SEEPING OUT (e.g. liquid),y,mini|wizi|hiri
zomizomi,trial,(SPINE) TINGLING| SHIVERS (DOWN YOUR SPINE),y,getya|kyesa|kesya
hidoroQko,trial,GLARING (light)|BLINDING (light),n,nawehene|dzayekyeze|zyahekere
erai,trial,SLUGGISH|LETHARGIC,n,ohua|okyua|okua
kyootee,trial,SCARY|FRIGHTENING,n,neho|zewo|reyo
hiratai,trial,FLAT|SMOOTH,n,nahuhua|dzakyuwua|zyakuyua
tsumetee,trial,COLD|CHILLY,n,hityoho|wisowo|yisyoyo
kamu,trial,CHEW,n,nutyi|zusi|rusyi
kukuru,trial,BIND|TIGHTEN,n,ninihi|zizikyi|ririki
ibii,trial,SMOKY,n,atya|aha|asya
nomeQkoi,trial,SLIPPERY|SMOOTH,n,syetyonea|kesozea|hesyorea
iraira,trial,SCRATCHY,y,ahu|akyu|aku
