exp_no,word,kana,concept,meaning,status,foil,order
1,yoroyoro,よろよろ,WOBBLING,WOBBLING,iconic,tehe|tyekye|tseke,1
1,fuwafuwa,ふわふわ,SOFT,FLUFFY,iconic,rizyu|gityu|nitsu,2
1,katai,かたい,HARD,HARD,iconic,nuhua|zuwua|ruyua,3
1,pyoNpyoN,ぴょんぴょん,HOPPING,BOUNCING|HOPPING,iconic,neQ|zeQ|reQ,4
1,hisohiso,ひそひそ,WHISPERING,WHISPERING,iconic,nake|dzame|zyage,5
1,tyikutyiku,ちくちく,CRAMPING (STOMACH),CRAMPING (e.g. in stomach)|SPASMING (e.g. in stomach),iconic,wani|yazi|gari,6
1,syiQpori,しっぽり,WET,WET|SOGGY|DAMP,iconic,rasyeha|nawekya|mayeka,7
1,kapokapo,かぽかぽ,SLOSHING,SLOSHING|SPLASHING,iconic,nusye|zuwe|ruye,8
1,yakiyaki,やきやき,ANNOYED/IMPATIENT,ANNOYED|IMPATIENT,iconic,tuna|tyuza|tsura,9
1,darui,だるい,SLUGGISH,SLUGGISH|LETHARGIC,iconic,wuhia|yukyia|hukia,10
1,igaiga,いがいが,PRICKLING,PRICKLING|TINGLING,iconic,aru|asu|atyu,11
1,zawazawa,ざわざわ,(SPINE) TINGLING,(SPINE) TINGLING| SHIVERS (DOWN YOUR SPINE),iconic,guzyu|kyutyu|kutsu,12
1,hirihiri,ひりひり,THROBBING,THROBBING|PULSATING,iconic,naha|dzakya|zyaka,13
1,hetoheto,へとへと,EXHAUSTED,EXHAUSTED|TIRED|WEARY,iconic,nohe|dzowe|zyoye,14
1,suzusyii,すずしい,COOL,COOL|FRESH,iconic,kigira|mikyina|gikima,15
1,zuruNzuruN,ずるんずるん,SLIMY,SLIPPERY|SLICK,iconic,gihiQ|kyikyiQ|kikiQ,16
1,omoi,おもい,OILY/HEAVY (FOOD),OILY/HEAVY (food),iconic,etyea|esea|esyea,17
1,suQkoi,すっこい,CUNNING,CUNNING|SLY|SNEAKY,iconic,kinea|mizea|girea,18
1,tyiraatyiraa,ちらあちらあ,STINGING (PAIN),"STINGING (pain, e.g. in eyes)|BURNING (pain, e.g. in eyes)",iconic,wahu|yakyu|gaku,19
1,nebaneba,ねばねば,SLIMY,SLIPPERY|SLICK,iconic,syotyu|kohu|hosyu,20
1,serasera,せらせら,PRICKLING,PRICKLING|TINGLING,iconic,kohu|mokyu|goku,21
1,oQkanai,おっかない,SCARY,SCARY|FRIGHTENING,iconic,enusyua|ezukua|eruhua,22
1,kaii,かいい,ITCHING,ITCHING|PRICKLING,prosaic,nua|zua|rua,23
1,kooru,こおる,FREEZE,FREEZE,prosaic,nehi|zekyi|reki,24
1,hidarui,ひだるい,HUNGRY,HUNGRY|STARVING,prosaic,nawuhia|dzayukyia|zyahukia,25
1,sabaku,さばく,TEAR,TEAR|RIP,prosaic,kutyuni|muhuzi|gusyuri,26
1,omoreru,おもれる,HUMID,HUMID|MUGGY,prosaic,etyehohi|esekyokyi|esyekoki,27
1,dareta,だれた,EXHAUSTED,EXHAUSTED|TIRED|WEARY,prosaic,wuhohu|yukyowu|hukoyu,28
1,mizukusai,みずくさい,WEAK,BLAND (taste)|TASTELESS|WATERY (taste),prosaic,tyaginikua|sakyizimua|syakirigua,29
1,kawaku,かわく,DRY,DRY|PARCHED,prosaic,nuzyuni|zutyuzi|rutsuri,30
1,kitsuka,きつか,SLUGGISH,SLUGGISH|LETHARGIC,prosaic,nahinu|zawizu|rayiru,31
2,yoroyoro,よろよろ,WOBBLING,WOBBLING,iconic,tehe|tyekye|tseke,32
2,fuwafuwa,ふわふわ,SOFT,FLUFFY,iconic,rizyu|gityu|nitsu,33
2,katai,かたい,HARD,HARD,iconic,nuhua|zuwua|ruyua,34
2,pyoNpyoN,ぴょんぴょん,HOPPING,BOUNCING|HOPPING,iconic,neQ|zeQ|reQ,35
2,hisohiso,ひそひそ,WHISPERING,WHISPERING,iconic,nake|dzame|zyage,36
2,niyaniya,にやにや,CRAMPING (STOMACH),CRAMPING (e.g. in stomach)|SPASMING (e.g. in stomach),iconic,syatu|katyu|hatsu,37
2,zyimezyime,じめじめ,HUMID,HUMID|MUGGY,iconic,matyo|waso|hasyo,38
2,zoNzoN,ぞんぞん,(SPINE) TINGLING,(SPINE) TINGLING| SHIVERS (DOWN YOUR SPINE),iconic,geQ|kyeQ|keQ,39
2,tyikutyiku,ちくちく,ITCHING,ITCHING|PRICKLING,iconic,wani|yazi|gari,40
2,hiyaQkoi,ひやっこい,COOL,COOL|FRESH,iconic,natunea|dzatyuzea|zyatsurea,41
2,suu,すう,SUCK,SUCK,iconic,ki|mi|gi,42
2,fuku,ふく,BLOW,BLOW|PUFF,iconic,rini|gizi|niri,43
2,saku,さく,TEAR,TEAR|RIP,iconic,kuni|muzi|guri,44
2,osoi,おそい,SLOW,SLOW,iconic,ekea|emea|egea,45
2,kiiN,きいん,RINGING,RINGING (e.g. a ringing sound in your ears),iconic,naQ|zaQ|raQ,46
2,izyiizyi,いじいじ,ANNOYED/IMPATIENT,ANNOYED|IMPATIENT,iconic,ama|awa|aha,47
2,mabusyii,まぶしい,GLARING (OVERLY BRIGHT),GLARING (light)|BLINDING (light)|DAZZLING,iconic,tyutyira|suhina|syusyima,48
2,yakamasyii,やかましい,NOISY,LOUD|NOISY,iconic,tunutyura|tyuzusuna|tsurusyuma,49
2,deQkai,でっかい,BIG,BIG|MASSIVE|LARGE|HUGE,iconic,wonua|yozua|horua,50
2,saQpari,さっぱり,CLEAN,CLEAN|TIDY,iconic,kusyuha|muwukya|guyuka,51
2,syobosyobo,しょぼしょぼ,WATERY (EYES),WATERY (EYES)|BLEARY (EYES),iconic,retye|nehe|mesye,52
2,kaku,かく,SCRATCH,SCRATCH,prosaic,nuni|zuzi|ruri,53
2,kanasyii,かなしい,SAD,SAD|GLUM,prosaic,nusyura|zukuna|ruhuma,54
